epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,446.478,0.73519,0.56902,1.00167,0.45947,0.66667,0.53885,0.37933,1.05646,1.57329,1.38705,0.00130063,0.00130063,0.00130063
113,450.488,0.73437,0.63437,1.00664,0.46065,0.64782,0.53078,0.36149,1.08779,1.59031,1.38907,0.00129733,0.00129733,0.00129733
114,453.958,0.74521,0.58587,1.01915,0.54452,0.66525,0.6214,0.4482,0.96075,1.32078,1.23467,0.00129403,0.00129403,0.00129403
115,457.496,0.76826,0.58949,1.02277,0.57764,0.77567,0.66509,0.48142,0.98173,1.27036,1.27698,0.00129072,0.00129072,0.00129072
116,462.243,0.67963,0.58388,0.97316,0.57751,0.83578,0.68966,0.45223,1.20068,1.1854,1.52118,0.00128742,0.00128742,0.00128742
117,466.296,0.75047,0.61515,1.01422,0.58971,0.70094,0.65156,0.46583,1.10954,1.33751,1.38045,0.00128412,0.00128412,0.00128412
118,469.891,0.74278,0.57537,1.00353,0.62951,0.66561,0.62518,0.4343,1.03263,1.69241,1.2776,0.00128082,0.00128082,0.00128082
119,474.101,0.77155,0.68984,1.04817,0.64365,0.66667,0.63214,0.45861,0.97433,1.57011,1.2558,0.00127752,0.00127752,0.00127752
120,478.741,0.66834,0.54927,0.97726,0.56715,0.6441,0.63672,0.46408,0.98281,1.5565,1.26052,0.00127422,0.00127422,0.00127422
121,482.172,0.759,0.59897,1.00572,0.54829,0.60089,0.62629,0.44366,1.03648,1.6346,1.3167,0.00127092,0.00127092,0.00127092
122,485.786,0.71359,0.55766,0.98368,0.6661,0.59375,0.6011,0.41789,1.08303,1.59959,1.407,0.00126762,0.00126762,0.00126762
123,490.775,0.74066,0.58674,0.9907,0.71783,0.65625,0.66824,0.45772,1.12758,1.36538,1.46461,0.00126432,0.00126432,0.00126432
124,494.566,0.73057,0.58632,1.00435,0.57191,0.8007,0.69863,0.45111,1.25289,1.15817,1.5951,0.00126102,0.00126102,0.00126102
125,498.362,0.77585,0.58276,1.01977,0.47733,0.61458,0.49225,0.32819,1.22258,1.59564,1.55523,0.00125772,0.00125772,0.00125772
126,501.759,0.75794,0.61802,1.00072,0.66203,0.7071,0.64644,0.41664,1.24765,1.28587,1.75684,0.00125442,0.00125442,0.00125442
127,506.841,0.73842,0.56964,1.00884,0.66063,0.74991,0.67298,0.47249,1.10589,1.30985,1.50252,0.00125112,0.00125112,0.00125112
128,510.504,0.734,0.61077,1.00897,0.62097,0.72917,0.60014,0.45295,0.98945,1.70479,1.24942,0.00124782,0.00124782,0.00124782
129,514.153,0.72226,0.58093,0.9814,0.56541,0.69792,0.59619,0.4368,1.00217,1.4121,1.32425,0.00124452,0.00124452,0.00124452
130,518.08,0.71459,0.5328,0.98979,0.64005,0.70798,0.66633,0.51318,0.94393,1.47157,1.26571,0.00124121,0.00124121,0.00124121
131,522.488,0.74062,0.58032,1.00468,0.63923,0.625,0.58539,0.44066,0.91018,2.11254,1.24561,0.00123791,0.00123791,0.00123791
132,526.088,0.70715,0.51581,0.97843,0.59648,0.625,0.55475,0.41016,0.95485,2.1938,1.23249,0.00123461,0.00123461,0.00123461
133,529.839,0.77538,0.6244,1.01712,0.60415,0.72917,0.6546,0.45578,1.04826,1.9251,1.30701,0.00123131,0.00123131,0.00123131
134,534.206,0.68739,0.5568,0.98503,0.56447,0.78804,0.73066,0.50539,1.08692,1.63045,1.34202,0.00122801,0.00122801,0.00122801
135,537.971,0.71308,0.57272,1.01539,0.59976,0.74904,0.75813,0.53332,1.07349,1.79701,1.33099,0.00122471,0.00122471,0.00122471
136,541.544,0.65789,0.51634,0.9642,0.56714,0.74186,0.65719,0.49336,1.05086,1.69767,1.37067,0.00122141,0.00122141,0.00122141
137,545.301,0.67644,0.52677,0.95716,0.74608,0.67103,0.63433,0.43305,1.16007,1.6986,1.38787,0.00121811,0.00121811,0.00121811
138,549.83,0.69468,0.55779,0.99081,0.68628,0.59949,0.48962,0.33664,1.10899,2.25691,1.37482,0.00121481,0.00121481,0.00121481
139,553.727,0.66751,0.49603,0.95921,0.57335,0.63662,0.62529,0.44124,1.07553,2.06619,1.39567,0.00121151,0.00121151,0.00121151
140,557.265,0.7132,0.52719,0.99414,0.62146,0.76631,0.722,0.48755,1.2055,1.53003,1.49149,0.00120821,0.00120821,0.00120821
141,561.21,0.6554,0.49731,0.96156,0.75966,0.6875,0.75771,0.51375,1.16301,1.22093,1.44642,0.00120491,0.00120491,0.00120491
142,565.336,0.67337,0.5778,0.96937,0.65569,0.80208,0.70616,0.49778,1.06781,1.14735,1.39715,0.00120161,0.00120161,0.00120161
143,569.448,0.67824,0.49979,0.96082,0.60217,0.75063,0.71079,0.49003,1.15365,1.31413,1.47011,0.00119831,0.00119831,0.00119831
144,573.059,0.66674,0.58148,0.98365,0.5394,0.83723,0.68145,0.4268,1.28929,1.269,1.57984,0.00119501,0.00119501,0.00119501
145,578.036,0.68718,0.54433,0.9519,0.58753,0.76299,0.69921,0.43357,1.22238,1.24872,1.57477,0.0011917,0.0011917,0.0011917
146,581.541,0.65282,0.51116,0.95296,0.71208,0.67708,0.65714,0.45583,1.04946,1.18872,1.37193,0.0011884,0.0011884,0.0011884
147,585.143,0.60418,0.5192,0.9447,0.69481,0.66667,0.68356,0.494,1.01488,1.1226,1.30538,0.0011851,0.0011851,0.0011851
148,589.079,0.67548,0.58197,0.97264,0.69802,0.72917,0.70836,0.50444,1.05088,1.14093,1.36984,0.0011818,0.0011818,0.0011818
149,593.504,0.63247,0.50963,0.96187,0.62857,0.84228,0.74357,0.55756,0.99468,1.30656,1.31588,0.0011785,0.0011785,0.0011785
150,597.042,0.63988,0.49628,0.98212,0.63906,0.76042,0.69554,0.49713,1.03183,1.32971,1.41457,0.0011752,0.0011752,0.0011752
151,600.818,0.63754,0.49656,0.94293,0.71329,0.70833,0.68831,0.49004,0.98908,1.1815,1.32892,0.0011719,0.0011719,0.0011719
152,605.321,0.64883,0.50022,0.96018,0.70144,0.75,0.68509,0.49048,1.00616,1.14713,1.35133,0.0011686,0.0011686,0.0011686
153,609.297,0.60784,0.47298,0.94621,0.61267,0.7801,0.6944,0.49603,0.989,1.17387,1.33575,0.0011653,0.0011653,0.0011653
154,612.788,0.66632,0.58598,0.98925,0.56225,0.76043,0.63515,0.45413,0.97536,1.33051,1.32979,0.001162,0.001162,0.001162
155,616.497,0.61816,0.49474,0.97254,0.64691,0.65625,0.61513,0.43866,0.97172,1.30445,1.28958,0.0011587,0.0011587,0.0011587
156,621.023,0.63256,0.47464,0.96216,0.53312,0.84375,0.64762,0.45028,1.01973,1.23969,1.36224,0.0011554,0.0011554,0.0011554
157,625.033,0.6225,0.48102,0.96697,0.60781,0.80206,0.7428,0.54203,0.9996,1.12135,1.30011,0.0011521,0.0011521,0.0011521
158,628.511,0.71347,0.56338,1.0162,0.61537,0.80073,0.7377,0.53145,0.94545,1.33013,1.27329,0.0011488,0.0011488,0.0011488
159,632.598,0.64068,0.52484,0.97847,0.57902,0.71329,0.6391,0.4645,0.94167,1.45093,1.24282,0.0011455,0.0011455,0.0011455
160,636.589,0.63843,0.47677,0.97258,0.63742,0.80762,0.74352,0.55509,0.96262,0.991,1.24723,0.0011422,0.0011422,0.0011422
161,639.991,0.63107,0.49664,0.95331,0.62857,0.73504,0.69518,0.5116,0.98766,1.21114,1.3209,0.00113889,0.00113889,0.00113889
162,643.691,0.59647,0.45551,0.93652,0.58404,0.79609,0.73661,0.51646,1.05883,1.25828,1.44577,0.00113559,0.00113559,0.00113559
163,647.887,0.62894,0.53351,0.97458,0.7078,0.63235,0.68339,0.48541,1.0915,1.26653,1.46973,0.00113229,0.00113229,0.00113229
164,651.61,0.64191,0.5207,0.99538,0.62026,0.76042,0.70329,0.48032,1.11249,1.40334,1.52963,0.00112899,0.00112899,0.00112899
165,655.188,0.6255,0.53029,0.95643,0.69319,0.73958,0.74145,0.52038,1.08475,1.49046,1.46732,0.00112569,0.00112569,0.00112569
